GPA;Gender;breakfast;calories_chicken;calories_day;calories_scone;coffee;comfort_food_reasons_coded;cook;cuisine;diet_current_coded;drink;eating_changes_coded;eating_out;employment;ethnic_food;exercise;father_education;father_profession;fav_cuisine_coded;fav_food;food_childhood;fries;fruit_day;grade_level;greek_food;healthy_feeling;ideal_diet_coded;income;indian_food;italian_food;life_rewarding;marital_status;meals_dinner_friend;mother_education;mother_profession;nutritional_check;on_off_campus;parents_cook;pay_meal_out;persian_food;self_perception_weight;soup;sports;thai_food;tortilla_calories;turkey_calories;type_sports;veggies_day;vitamins;waffle_calories;weight
2,4;2;1;430;nan;315;1;9;2;nan;1;1;1;3;3;1;1;5;profesor ;3;1;rice  and chicken ;2;5;2;5;2;8;5;5;5;1;1;rice, chicken,  soup;1;unemployed;5;1;1;2;5;3;1;1;1;1165;345;car racing;5;1;1315;187
3,654;1;1;610;3;420;2;1;3;1;2;2;1;2;2;4;1;2;Self employed ;1;1;chicken and biscuits, beef soup, baked beans;1;4;4;4;5;3;4;4;4;1;2;Pasta, steak, chicken ;4;Nurse RN ;4;1;1;4;4;3;1;1;2;725;690;Basketball ;4;2;900;155
3,2;1;1;430;3;420;2;2;2;2;2;2;1;2;3;5;3;2;Mechanic ;3;1;Beef stroganoff, tacos, pizza;2;4;4;5;7;2;6;5;5;2;2;"Grilled chicken 
Stuffed Shells
Homemade Chili";4;Special Education Teacher;2;1;1;2;5;5;1;2;5;725;690;nan;3;1;1315;240
3,5;1;1;720;2;420;2;1;1;2;2;2;3;2;2;4;1;4;IT;1;3;Pasta, chicken tender, pizza ;1;4;4;4;6;2;6;2;5;1;1;Chicken Parmesan, Pulled Pork, Spaghetti and meatballs ;5;Substance Abuse Conselor;3;1;1;4;2;4;1;1;4;940;500;Softball;4;2;760;190
2,25;1;1;610;3;980;2;4;3;nan;2;2;1;1;3;4;2;1;Taxi Driver;6;3;Fries, plaintain & fried fish;1;2;2;2;4;2;1;5;5;4;2;Anything they'd want. I'd ask them before hand what they want to eat and it depends on which type of friend is coming.;1;Hair Braider;1;1;2;5;5;5;1;2;4;940;345;None.;1;2;1315;190
3,8;2;1;610;3;420;2;1;2;1;3;1;2;2;3;5;1;4;Assembler ;4;1;grilled chicken, hamburgers;1;4;4;5;4;2;4;5;5;8;1;Grilled chicken, steak, pizza;4;Journalist;4;2;2;2;5;4;1;1;5;940;690;soccer;4;1;1315;180
3,3;1;1;720;3;420;1;1;3;1;1;2;2;2;2;2;2;3;Business guy;5;1;chicken, cheesey potatoes, and hot dogs;1;5;2;3;3;2;5;1;3;3;1;chicken, steak, pasta ;2;cook;4;1;1;5;1;3;1;2;1;725;500;none;4;2;1315;137
3,3;1;1;430;nan;420;1;2;3;1;1;1;2;5;2;5;nan;5;High School Principal;1;3;Shrimp, spaghetti;1;4;1;5;7;6;5;5;5;8;2;Pasta, Fish, Steak;5;Elementary School Teacher;2;1;2;3;5;4;2;2;5;725;345;none;3;2;760;180
3,3;1;1;430;3;315;2;1;3;1;1;1;1;3;3;5;1;5;commissioner of erie county ;1;1;Pasta, Eggs, Pancakes ;1;5;1;5;3;2;4;4;5;3;2;pasta salad and bread;5;Pharmaceutical rep;5;1;3;3;4;3;1;1;4;580;345;field hockey;5;1;900;125
3,5;1;1;610;3;980;2;2;1;1;1;2;3;2;1;5;1;2;Idk;4;1;Chicken;1;5;3;1;9;7;3;1;5;8;1;chicken al king, spaghetti, fish;4;Chidos Cleaners;2;3;1;2;2;1;1;1;2;940;345;soccer;5;2;900;116
3,904;1;1;720;4;420;2;3;3;1;1;1;4;1;2;5;1;3;Home Marker ;1;1;Scalloped potatoes and ham ;1;5;2;5;1;2;5;5;5;1;2;Chicken parm, Fish, Pasta dishes ;4;Court Reporter ;5;1;1;3;5;2;1;1;5;940;500;Running;5;1;900;110
3,4;2;1;430;3;420;2;3;5;1;1;2;2;1;3;4;3;3;Shirt designer ;4;3;Pizza, chicken wings, and corn on the cob ;1;4;1;3;9;1;5;3;4;9;2;Cereal, pizza, toast ;4;Child care provider ;2;1;2;2;3;5;2;1;3;940;500;Soccer and basketball ;3;2;575;264
3,6;1;1;610;3;420;2;1;2;1;2;2;1;4;2;5;2;2;business owner;1;1;steak, lasagna, crab;1;5;3;4;8;2;5;3;5;10;2;pasta, chicken, steak;4;business owner;2;2;2;3;3;3;1;1;5;1165;850;intramural volleyball;5;2;1315;123
3,1;2;1;610;3;420;2;2;3;1;1;2;3;2;3;4;2;4;Commidity trader ;4;3;Pizza;1;5;3;4;2;1;5;2;3;1;1;Pizza, chicken and rice, roast beef.;4;Charity worker;2;2;2;3;1;3;1;1;4;940;500;Hockey;5;1;900;185
nan;2;2;430;nan;980;2;2;4;1;2;2;3;4;3;1;1;5;Hockey Coach;1;2;pizza;1;3;1;1;6;2;4;1;5;nan;2;pizza buffalo chicken pasta;4;Librarian;1;1;2;3;1;2;2;1;1;940;345;Hockey;1;2;1315;180
4;1;1;265;3;420;1;1;3;nan;1;1;2;1;2;2;2;1;Construction ;7;1;Curry, Stew Chicken and Saltfish;1;5;1;2;7;2;1;5;3;9;2;Curry goat, saltfish, jerk chicken ;2;Police;4;1;2;2;2;3;1;2;1;580;345;nan;5;1;760;145
3,6;2;1;430;3;980;2;2;3;1;3;2;1;2;3;4;1;2;self employed construction ;5;3;chicken fingers, steak, mac and cheese;1;3;1;3;8;1;6;3;5;7;2;Grilled chicken or steak with veggies and rice. or some type of pasta and chicken ;2;stay at home mom;4;1;1;6;2;2;1;1;3;940;500;hockey;4;2;900;170
3,4;1;1;720;3;980;1;3;3;1;1;1;4;3;2;1;3;5;Engineer;5;3;Chicken;1;5;2;3;6;2;5;1;5;9;2;Spaghetti, Chicken, Steak;3;Daycare provider;2;1;1;2;1;3;2;2;1;1165;690;dancing ;5;1;1315;135
2,2;2;1;430;2;420;2;2;4;1;2;2;3;2;3;3;2;5;architect;1;1;manacotti;1;2;1;3;4;3;5;2;5;7;1;chicken, manicotti, rice;4;physical therapist;1;1;1;3;3;4;1;nan;3;940;345;basketball;2;2;900;165
3,3;2;1;610;3;980;2;7;5;1;2;2;1;4;2;4;1;5;CFO;2;3;pizza, chicken fingers;1;2;2;2;5;1;6;1;4;2;1;Chicken, Pasta, Veal;4;Teacher;2;1;1;2;1;6;1;1;1;1165;850;Soccer;3;2;1315;175
